Latitude,Longitude,Restock,Color,Advertiser Color,Advertiser,Name,Category,Address,City,State,Zipcode,Contact Name,Contact Phone,Has Rack,Total Quantity to Deliver,Initial Delivery,Restock Quantity (6 x),Delivered to Date,Quantity Returned,Number of Deliveries,hourly,Driver,Notes,Stop #
36.799747,-121.783334,,,,,Whole Enchilada,,7904 California 1,Moss Landing,CA,,,,,,20,20,12/6/2014,,,,Bill,,
36.798703,-121.783324,,,,,Whole Enchilada Marketplace,,California 1,Moss Landing,CA,,,,,,20,20,12/6/2014,,,,Bill,,
36.97383,-121.964967,y,red,blue,y,"Whole Foods, Cap",food,1710 41st Ave,Capitola,CA,,Michele,,y,300,120,30,80,,,,Mick,will redeliver and check,
36.978679,-122.014354,y,red,blue,y,"Whole Foods, SC",food,,Santa Cruz,CA,95060,,,y,300,120,30,40,,,,Mick,,
36.961249,-122.02152,n,silver,silver,,Woody's Cafe,eating,25 Municipal Wharf,Santa Cruz,CA,95062,Mark Gilbert,,y,40,40,,,,,,Mick,"doesn't usually display, but really impressed by Waves",
36.96826,-121.997932,y,red,silver,,Yahct Harbor Cafe,eating,535 7th Ave,Santa Cruz,CA,95062,Dan,,,160,40,20,40,,,,Nelson ,,8
36.969805,-122.024891,y,red,blue,y,Zachary's,eating,819 Pacific Ave,Santa Cruz,CA,,Tom,,,160,40,20,40,,,,Nelson ,,16
36.971913,-121.952054,y,red,blue,y,Zelda's,eating,203 Esplanade,Capitola,CA,95010,Jill Ealy,,,160,40,20,40,,1,,Bill,,
36.975674,-121.968047,n,blue,blue,y,Zizzo's Coffee,coffee,3555 Clares St,Capitola,CA,,Aaron,,,40,40,,40,,,,Mick,might want crate after remodel,
36.975834,-122.026626,n,blue,blue,y,Zoccolis,eating,1534 Pacific Ave,Santa Cruz,CA,,Patty Zoccoli,,y,40,40,,Rain,,,,Mick,,
